ACK_ID,PROVIDER_EXCLUDE_IND
"20190211170339P030002197161001","2"
"20190212083039P040035663437001","1"
"20190212123008P030034658461001","2"
"20190212133724P030055424321001","2"
"20190212135105P040035955373001","1"
"20190212143332P040057649969001","2"
"20190212144819P040057675601001","2"
"20190213102627P030053189623001","2"
"20190213130828P040036769885001","1"
"20190213131143P040052366839001","1"
"20190213133250P030053452071001","2"
"20190213133516P040060168609001","2"
"20190213133839P040060170497001","1"
"20190213140032P030002294281001","2"
"20190213152115P030057505041001","1"
"20190213191058P040052894071001","2"
"20190213195213P040060508193001","1"
"20190214090530P040053888839001","1"
"20190214102051P040061583473001","1"
"20190214111754P040001994873001","1"
"20190214125950P040038182733001","1"
"20190214142748P040062195137001","2"
"20190214153258P030002394745001","1"
"20190214162132P030056297415001",
"20190214164928P030025645823001","1"
"20190214175713P030056408839001","2"
"20190215073314P030037449437001","2"
"20190215075538P030057652455001","1"
"20190215090304P030037539901001","1"
"20190215093724P030025994847001","2"
"20190215101138P040002483589001","1"
"20190215111653P030057923575001","2"
"20190215122358P030058013959001","2"
"20190215124849P040064029473001","2"
"20190215130257P030002424921001","2"
"20190215140421P040064156497001","1"
"20190215142728P040056280599001","1"
"20190215143046P030037802669001","1"
"20190215143653P040064197633001","2"
"20190215151637P040064306929001","1"
"20190215155623P030002439097001","2"
"20190215160728P030058507383001","2"
"20190215165321P040056452631001","1"
"20190215174849P030058686567001","2"
"20190215193343P030002687045001","1"
"20190216113452P030063044513001","1"
"20190218092643P030002640985001","1"
"20190218143442P040071048465001","1"
"20190218171032P040044371133001","2"
"20190218200352P030063588119001","1"
"20190218202514P040063022727001","1"
"20190219081335P040063981959001","2"
"20190219093102P030002983237001","2"
"20190219114157P030041985917001","2"
"20190219120013P040072817121001","2"
"20190219130333P040064639111001","1"
"20190219130649P030064559095001","1"
"20190219131035P030042161149001","1"
"20190219172054P040025897279001","1"
"20190219183246P030069294033001","1"
"20190219213028P040065198823001","1"
"20190220081558P030070411409001","2"
"20190220094132P030070486641001","1"
"20190220112545P040074817393001","2"
"20190220123751P040066405895001","2"
"20190221070304P030072275745001","1"
"20190221083227P030002891801001","1"
"20190221120934P040026398031001","1"
"20190221123532P040048752829001","1"
"20190221170017P030068602247001","2"
"20190222084146P030074558081001","2"
"20190222141248P030075246961001","2"
"20190223154051P040051659213001","2"
"20190225115130P040086752017001","2"
"20190225151900P040054436109001","2"
"20190225193115P030003569061001","1"
"20190226125246P040078315911001","2"
"20190226164302P040002771497001","1"
"20190226172335P030052816621001","2"
"20190226172648P040078646567001","2"
"20190226173307P030083323169001","2"
"20190226173620P040078651687001","2"
"20190227114659P040079393799001","1"
"20190227120734P030078095671001","1"
"20190227143801P040079678631001","2"
"20190227144044P030078298951001","2"
"20190227161108P040090983617001","1"
"20190227170706P030054622173001","2"
"20190227174636P040091218449001","1"
"20190228075449P040081456103001","2"
"20190228090749P040081498327001","2"
"20190228113134P030085807777001","2"
"20190228142431P040003772741001","1"
"20190228153750P040059095645001",
"20190301055145P040094189185001","1"
"20190301072349P030056961101001","2"
"20190301111056P040002974025001","1"
"20190301135317P030003878809001","1"
"20190303225455P040004074565001","1"
"20190303225656P030004031045001","1"
"20190304072532P030004078149001","1"
"20190305074711P030088974135001","1"
"20190305120856P030094373393001","2"
"20190305131442P030089436519001","1"
"20190305132018P030089444135001","2"
"20190305144235P040003220537001","1"
"20190305152040P040102595281001","1"
"20190305153106P030089666167001","1"
"20190305172258P030094769281001","2"
"20190306100323P030095961313001","1"
"20190306105713P040004261989001",
"20190306113325P040104464417001","1"
"20190306130705P040003261065001","1"
"20190306144450P040104825281001","1"
"20190307104534P040035447951001","1"
"20190307111617P030004415365001","1"
"20190307111722P030004415461001",
"20190307115722P030004402617001","2"
"20190307140726P030093985319001","2"
"20190307153135P040095099511001","2"
"20190308084426P030095763511001","1"
"20190308132507P030065763741001","1"
"20190308134220P030096070599001","1"
"20190308150117P030100813057003","2"
"20190310143659P040112946161001","2"
"20190311082234P030100856471001","1"
"20190311095710P040004704565001","1"
"20190311110815P030101236631001","1"
"20190311113951P040003586473001","2"
"20190311122052P040114958769001","2"
"20190311150750P030101966583001","2"
"20190311161519P040079088141001","1"
"20190311193010P030004770501001","1"
"20190311193711P030004770837001","1"
"20190311194213P040116117169001","1"
"20190311194813P030004771205001","1"
"20190312081456P030004800117001","2"
"20190312111000P040117671793001","2"
"20190312111505P040117676465001","1"
"20190312114416P030103121591001","2"
"20190312141609P040080131181001","1"
"20190312143635P040117961585001","1"
"20190312144659P030103363655001","2"
"20190312152957P040118098769001","2"
"20190313095720P030004832233001","2"
"20190313101406P030104694327001","1"
"20190313110231P040120052113001","2"
"20190313122509P030071548973001","1"
"20190313124111P030111131521001","1"
"20190313133743P040081100013001","2"
"20190313143115P030004924965001","2"
"20190313152323P040004876677001","2"
"20190313161113P030111418625001","1"
"20190313162605P030105319559001","1"
"20190314105542P030004962857001","2"
"20190314134908P040083404365001","2"
"20190314140037P040040443615001","1"
"20190314140822P040083447917001","2"
"20190314142012P030107698727001","2"
"20190314143439P030072535133001","1"
"20190314143724P040083481309001","2"
"20190314152444P030005001669001","1"
"20190314164659P030072752141001","1"
"20190314165545P040083573517001","1"
"20190314204039P040108082807001","2"
"20190315111530P030109389591001","1"
"20190315114249P030073536445001","1"
"20190315124214P040085151885001","2"
"20190315131038P040109316103001","2"
"20190315131132P030109658167001","2"
"20190315133608P030073671805001","2"
"20190315135022P030109749799001","2"
"20190315135504P040123954801001","2"
"20190315135939P030073737021001","2"
"20190315140126P030073738717001","2"
"20190315141505P030061291871001","1"
"20190315141919P030109818535001","2"
"20190315141946P030005174553001","1"
"20190318085522P040089688413001","2"
"20190318091635P040130596721001","1"
"20190318091750P040130599969001","2"
"20190318155433P040090233373001","1"
"20190318160016P030078286749001","2"
"20190318205130P040116485879001","2"
"20190318205428P040116492823001","2"
"20190318210620P040004024841001","2"
"20190318211216P030121683617001","1"
"20190318213359P040131580401001","1"
"20190318213729P030115887751001","1"
"20190318214156P040131597521001","1"
"20190318214454P030115895927001","1"
"20190318214752P040005434165001","1"
"20190318215815P040131625233001","1"
"20190319052110P030079216509001","2"
"20190319064043P040005466053001","2"
"20190319102430P040132585105001","2"
"20190319165404P040092386557001","1"
"20190319172327P040092436653001","2"
"20190319185643P040118201063001","1"
"20190319230007P040043036367001","1"
"20190320083309P030117769863001","2"
"20190320090544P040134590321001","1"
"20190320120541P040119131223001","1"
"20190320125421P030124651217001","1"
"20190320130905P040119173351001","1"
"20190320141515P040043384847001","2"
"20190321090941P040121038567001","1"
"20190321114948P040043415775001","1"
"20190321125344P030084331149001","2"
"20190321143055P030084415181001","2"
"20190322092223P040123731639001","2"
"20190322101948P040123866647001","1"
"20190322110919P040139345169001","1"
"20190322121258P040096941789001","2"
"20190322132203P040139648097001","1"
"20190322151926P040124309831001","2"
"20190322152007P040124310647001","2"
"20190322152048P030122725495001","2"
"20190322152124P030085734701001","2"
"20190322164323P040124374263001","2"
"20190325061758P030134163937001","1"
"20190325072901P040146329681001","2"
"20190326090010P040131500743001","1"
"20190326094950P040131575287001","2"
"20190326100023P030006103669001","1"
"20190326102746P040131620391001","1"
"20190326134130P040131983879001","1"
"20190326140710P040148693185001","2"
"20190326143757P040132054407001","2"
"20190326144320P040006184517001","1"
"20190326152407P030092727421001","1"
"20190326152620P040006188917001","2"
"20190326160414P030130202759001","1"
"20190326162514P040132147671001","2"
"20190326165109P030006284617001","1"
"20190327082054P030093994989001","1"
"20190327094319P040045841023001","1"
"20190327132153P040105103245001","2"
"20190327134737P030006205797001","1"
