DATE,IPUTIL
1966-01-01,30.6422
1966-02-01,31.1065
1966-03-01,31.1839
1966-04-01,31.3902
1966-05-01,31.5965
1966-06-01,32.0350
1966-07-01,32.5509
1966-08-01,32.6283
1966-09-01,32.6025
1966-10-01,32.5509
1966-11-01,32.8604
1966-12-01,32.8862
1967-01-01,32.7687
1967-02-01,32.8575
1967-03-01,32.5718
1967-04-01,33.9306
1967-05-01,33.5838
1967-06-01,33.2743
1967-07-01,33.4428
1967-08-01,32.9714
1967-09-01,33.2397
1967-10-01,34.6521
1967-11-01,34.6919
1967-12-01,35.3862
1968-01-01,35.2422
1968-02-01,35.0763
1968-03-01,35.6660
1968-04-01,35.6741
1968-05-01,36.1134
1968-06-01,36.5086
1968-07-01,36.1303
1968-08-01,36.4198
1968-09-01,36.9803
1968-10-01,36.9472
1968-11-01,37.1751
1968-12-01,38.4747
1969-01-01,38.2272
1969-02-01,38.4922
1969-03-01,38.9173
1969-04-01,38.7202
1969-05-01,38.7476
1969-06-01,39.4768
1969-07-01,40.1015
1969-08-01,40.3011
1969-09-01,39.8787
1969-10-01,40.1782
1969-11-01,40.7737
1969-12-01,40.7684
1970-01-01,40.8462
1970-02-01,40.8350
1970-03-01,41.3762
1970-04-01,41.6162
1970-05-01,42.3910
1970-06-01,41.5440
1970-07-01,42.1707
1970-08-01,42.7284
1970-09-01,42.9783
1970-10-01,42.3373
1970-11-01,42.5197
1970-12-01,42.4728
1971-01-01,43.5308
1971-02-01,43.2676
1971-03-01,43.6348
1971-04-01,43.7792
1971-05-01,44.1576
1971-06-01,44.5089
1971-07-01,44.3011
1971-08-01,43.9304
1971-09-01,44.1858
1971-10-01,44.8225
1971-11-01,44.1855
1971-12-01,43.9331
1972-01-01,44.7427
1972-02-01,46.8361
1972-03-01,47.0514
1972-04-01,46.9205
1972-05-01,46.3352
1972-06-01,46.0252
1972-07-01,45.5648
1972-08-01,46.5220
1972-09-01,47.0787
1972-10-01,47.6058
1972-11-01,48.3521
1972-12-01,48.3836
1973-01-01,48.7653
1973-02-01,49.1496
1973-03-01,48.8274
1973-04-01,48.9768
1973-05-01,49.5118
1973-06-01,50.1300
1973-07-01,49.5561
1973-08-01,50.0084
1973-09-01,51.3341
1973-10-01,51.0147
1973-11-01,50.2251
1973-12-01,47.3990
1974-01-01,47.5734
1974-02-01,47.7748
1974-03-01,48.8060
1974-04-01,49.3803
1974-05-01,50.0026
1974-06-01,49.5238
1974-07-01,50.6070
1974-08-01,50.1709
1974-09-01,49.5068
1974-10-01,50.7721
1974-11-01,49.7036
1974-12-01,49.7349
1975-01-01,48.7729
1975-02-01,49.4969
1975-03-01,50.6527
1975-04-01,51.9960
1975-05-01,51.0804
1975-06-01,49.8837
1975-07-01,50.6031
1975-08-01,51.0736
1975-09-01,50.8418
1975-10-01,50.7084
1975-11-01,50.1228
1975-12-01,51.0106
1976-01-01,52.2079
1976-02-01,51.1397
1976-03-01,51.5107
1976-04-01,51.8836
1976-05-01,51.7407
1976-06-01,52.1991
1976-07-01,52.4002
1976-08-01,52.6028
1976-09-01,53.0357
1976-10-01,53.5844
1976-11-01,56.0397
1976-12-01,56.4864
1977-01-01,56.0331
1977-02-01,54.1880
1977-03-01,53.3780
1977-04-01,54.0577
1977-05-01,54.9226
1977-06-01,55.6527
1977-07-01,56.3116
1977-08-01,55.3973
1977-09-01,55.6044
1977-10-01,55.6127
1977-11-01,54.8776
1977-12-01,55.6954
1978-01-01,55.7780
1978-02-01,56.6692
1978-03-01,56.5415
1978-04-01,55.1495
1978-05-01,56.2008
1978-06-01,56.7840
1978-07-01,56.0554
1978-08-01,56.8462
1978-09-01,57.3064
1978-10-01,56.9067
1978-11-01,57.1072
1978-12-01,57.0209
1979-01-01,58.1884
1979-02-01,60.0129
1979-03-01,59.0045
1979-04-01,59.4656
1979-05-01,57.9419
1979-06-01,57.1238
1979-07-01,56.0348
1979-08-01,56.9266
1979-09-01,56.5055
1979-10-01,57.3365
1979-11-01,57.7249
1979-12-01,56.6719
1980-01-01,55.7844
1980-02-01,57.8438
1980-03-01,58.9759
1980-04-01,57.2754
1980-05-01,56.3829
1980-06-01,56.3938
1980-07-01,58.5247
1980-08-01,58.8432
1980-09-01,59.6030
1980-10-01,59.1139
1980-11-01,59.3510
1980-12-01,59.6194
1981-01-01,58.7706
1981-02-01,57.2764
1981-03-01,58.2226
1981-04-01,58.2581
1981-05-01,59.0962
1981-06-01,60.5685
1981-07-01,60.3955
1981-08-01,59.1755
1981-09-01,58.3405
1981-10-01,59.0594
1981-11-01,58.5383
1981-12-01,59.6802
1982-01-01,59.5928
1982-02-01,57.9455
1982-03-01,57.9568
1982-04-01,58.0183
1982-05-01,56.4469
1982-06-01,56.6415
1982-07-01,56.6156
1982-08-01,55.9165
1982-09-01,56.1021
1982-10-01,56.2591
1982-11-01,57.0055
1982-12-01,55.2641
1983-01-01,55.1441
1983-02-01,53.7239
1983-03-01,55.6864
1983-04-01,56.7383
1983-05-01,55.6901
1983-06-01,55.5254
1983-07-01,57.4312
1983-08-01,59.7649
1983-09-01,59.6229
1983-10-01,58.6755
1983-11-01,59.0318
1983-12-01,61.7878
1984-01-01,61.5659
1984-02-01,60.2598
1984-03-01,61.7412
1984-04-01,61.4151
1984-05-01,61.9912
1984-06-01,61.6635
1984-07-01,59.9937
1984-08-01,60.6317
1984-09-01,60.0037
1984-10-01,59.9676
1984-11-01,60.7367
1984-12-01,59.7181
1985-01-01,62.2307
1985-02-01,64.3934
1985-03-01,61.4333
1985-04-01,62.0284
1985-05-01,61.8936
1985-06-01,61.3419
1985-07-01,61.5585
1985-08-01,61.4230
1985-09-01,62.6132
1985-10-01,62.0481
1985-11-01,61.9414
1985-12-01,64.8907
1986-01-01,62.8368
1986-02-01,62.2960
1986-03-01,61.4109
